"Status","Gender","Race","Baseline"
"Failed Work Demo","Male","Black or African-American",47
"Pending","Male","White",80
"Did not pass Pre-screening Assessments","Female","White",10
"Did not pass Pre-screening Assessments","Male","American Indian or Alaska Native",11
"Passed JSTs but not invited to Interview/Work Demo","Male","White",91
"Pending","Male","Hispanic or Latino",67
"Passed Pre-screening but not invited to JSTs","Male","White",90
"Invited to JSTs but did not complete","Male","White",72
"Did not pass Pre-screening Assessments","Male","White",62
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",43
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",37
"Failed JSTs","Male","Black or African-American",6
"Pending","Male","White",92
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",72
"Pending","Female","Choose not to identify",68
"Passed Pre-screening but not invited to JSTs","Female","White",27
"Did not pass Pre-screening Assessments","Male","Black or African-American",1
"Invited to JSTs but did not complete","Male","Choose not to identify",95
"Passed Pre-screening but not invited to JSTs","Female","White",47
"Failed JSTs","Male","Hispanic or Latino",1
"Failed Work Demo","Male","White",58
"Offer accepted","Male","Two or More Races",84
"Invited to JSTs but did not complete","Male","White",95
"Pending","Male","Black or African-American",77
"Passed JSTs but not invited to Interview/Work Demo","Male","White",70
"Failed JSTs","Male","Black or African-American",38
"Did not pass Pre-screening Assessments","Male","White",13
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",91
"Did not pass Pre-screening Assessments","Male","White",50
"Pending","Male","Choose not to identify",77
"Pending","Male","Black or African-American",62
"Did not pass Pre-screening Assessments","Male","White",33
"Failed JSTs","Male","White",66
"Pending","Male","White",71
"Passed JSTs but not invited to Interview/Work Demo","Male","Choose not to identify",86
"Did not pass Pre-screening Assessments","Male","White",48
"Invited to JSTs but did not complete","Male","Hispanic or Latino",86
"Pending","Male","Black or African-American",72
"Pending","Female","Black or African-American",48
"Invited to JSTs but did not complete","Male","Black or African-American",53
"Pending","Male","White",65
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",49
"Pending","Male","Hispanic or Latino",69
"Passed Pre-screening but not invited to JSTs","Female","Black or African-American",25
"Invited to JSTs but did not complete","Male","White",73
"Failed JSTs","Male","White",1
"Pending","Male","White",97
"Pending","Male","White",84
"Invited to JSTs but did not complete","Male","White",69
"Did not pass Pre-screening Assessments","Female","Black or African-American",10
"Invited to JSTs but did not complete","Male","Hispanic or Latino",76
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",25
"Pending","Male","White",92
"Pending","Male","White",75
